sale,date,item,quantity,total
0,Monday 5th of May 2003,Xerox 1974,4,19.12
0,Monday 5th of May 2003,Rogers Deluxe File Chest,6,131.88
0,Monday 5th of May 2003,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood,3,20.94
1,Saturday 10th of January 2004,Xerox 1957,6,31.08
2,Sunday 29th of August 2004,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,5,15.15
2,Sunday 29th of August 2004,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  3/Pack,3,20.97
3,Tuesday 3rd of September 2002,Cisco SPA 501G IP Phone,6,426.96
3,Tuesday 3rd of September 2002,Acco D-Ring Binder w/DublLock,1,17.1
4,Friday 20th of June 2003,3M Hangers With Command Adhesive,5,14.8
4,Friday 20th of June 2003,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,2,159.04
5,Sunday 16th of April 2000,Global Value Steno Chair  Gray,8,388.72
5,Sunday 16th of April 2000,Adams Phone Message Book  200 Message Capacity  8 1/16  x 11 ,3,20.64
6,Wednesday 13th of June 2001,OSullivan 4-Shelf Bookcase in Odessa Pine,1,102.83
6,Wednesday 13th of June 2001,Ibico Standard Transparent Covers,2,32.96
6,Wednesday 13th of June 2001,Global Geo Office Task Chair  Gray,2,129.56
6,Wednesday 13th of June 2001,Self-Adhesive Address Labels for Typewriters by Universal,6,43.86
6,Wednesday 13th of June 2001,Staple envelope,5,22.3
7,Saturday 31st of May 2003,Hon 5100 Series Wood Tables,1,232.78
7,Saturday 31st of May 2003,Lenovo 17-Key USB Numeric Keypad,1,27.19
7,Saturday 31st of May 2003,Avery 489,8,66.24
7,Saturday 31st of May 2003,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,9,179.91
7,Saturday 31st of May 2003,OIC Colored Binder Clips  Assorted Sizes,5,14.3
8,Tuesday 30th of October 2001,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,9,1151.91
8,Tuesday 30th of October 2001,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,1,63.94
8,Tuesday 30th of October 2001,Global Low Back Tilter Chair,2,161.56
8,Tuesday 30th of October 2001,Economy Binders,9,3.78
9,Friday 18th of August 2000,Square Credit Card Reader,2,15.98
9,Friday 18th of August 2000,Wilson Jones  Snap  Scratch Pad Binder Tool for Ring Binders,1,5.8
10,Friday 2nd of August 2002,Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer  Copier  Scanner,10,3359.9
10,Friday 2nd of August 2002,Bush Advantage Collection Round Conference Table,5,584.65
10,Friday 2nd of August 2002,Samsung Galaxy Note 3,3,527.97
10,Friday 2nd of August 2002,Tyvek Side-Opening Peel & Seel Expanding Envelopes,3,271.44
11,Saturday 31st of March 2001,BPI Conference Tables,2,146.04
12,Friday 18th of October 2002,Nortel Meridian M3904 Professional Digital phone,3,369.57
12,Friday 18th of October 2002,Panasonic Kx-TS550,8,294.32
12,Friday 18th of October 2002,GBC Prestige Therm-A-Bind Covers,2,68.62
12,Friday 18th of October 2002,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,5,48.6
13,Wednesday 26th of March 2003,Telephone Message Books with Fax/Mobile Section  5 1/2 x 3 3/16,1,6.35
13,Wednesday 26th of March 2003,Deflect-o SuperTray Unbreakable Stackable Tray  Letter  Black,10,291.8
13,Wednesday 26th of March 2003,Xerox 1930,4,20.72
14,Friday 14th of July 2000,Poly Designer Cover & Back,1,5.7
15,Saturday 20th of March 2004,Novimex Swivel Fabric Task Chair,7,1056.86
15,Saturday 20th of March 2004,Akro-Mils 12-Gallon Tote,7,55.58
15,Saturday 20th of March 2004,Newell 324,5,46.2
16,Wednesday 7th of February 2001,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,1,8.78
16,Wednesday 7th of February 2001,Anker Astro 15000mAh USB Portable Charger,7,349.93
17,Saturday 24th of January 2004,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,7,556.64
17,Saturday 24th of January 2004,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,7,509.46
17,Saturday 24th of January 2004,Fellowes PB200 Plastic Comb Binding Machine,6,815.94
17,Saturday 24th of January 2004,1.7 Cubic Foot Compact Cube Office Refrigerators,4,832.64
18,Sunday 6th of February 2000,Economy Binders,3,1.26
19,Monday 6th of January 2003,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,5,319.7
20,Monday 1st of May 2000,Home/Office Personal File Carts,3,104.28
20,Monday 1st of May 2000,Premium Writing Pencils  Soft  #2 by Central Association for the Blind,10,29.8
20,Monday 1st of May 2000,Recycled Interoffice Envelopes with String and Button Closure  10 x 13,2,38.38
21,Thursday 21st of June 2001,GBC Twin Loop Wire Binding Elements  9/16 Spine  Black,6,18.24
21,Thursday 21st of June 2001,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,1,43.98
22,Monday 6th of October 2003,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,8,30.24
22,Monday 6th of October 2003,GE General Purpose  Extra Long Life  Showcase & Floodlight Incandescent Bulbs,7,20.37
22,Monday 6th of October 2003,Storex Dura Pro Binders,10,47.5
22,Monday 6th of October 2003,Eldon Expressions Desk Accessory  Wood Photo Frame  Mahogany,7,106.61
22,Monday 6th of October 2003,Bevis Round Conference Table Top  X-Base,6,860.58
23,Monday 13th of October 2003,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,9,430.29
23,Monday 13th of October 2003,OIC Binder Clips  Mini  1/4 Capacity  Black,2,2.48
24,Saturday 4th of November 2000,Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors,2,354.94
24,Saturday 4th of November 2000,Storex Dura Pro Binders,3,14.25
24,Saturday 4th of November 2000,Ibico Recycled Grain-Textured Covers,5,51.8
24,Saturday 4th of November 2000,Office Star - Ergonomically Designed Knee Chair,9,728.82
24,Saturday 4th of November 2000,Storex DuraTech Recycled Plastic Frosted Binders,5,4.25
25,Tuesday 16th of January 2001,Avery 51,4,20.16
25,Tuesday 16th of January 2001,Bevis Round Bullnose 29 High Table Top,6,1246.62
25,Tuesday 16th of January 2001,2300 Heavy-Duty Transfer File Systems by Perma,4,99.92
25,Tuesday 16th of January 2001,SimpliFile Personal File  Black Granite  15w x 6-15/16d x 11-1/4h,1,9.08
25,Tuesday 16th of January 2001,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,7,83.93
26,Friday 16th of April 2004,Avery 512,1,2.31
26,Friday 16th of April 2004,Bush Westfield Collection Bookcases  Medium Cherry Finish,4,115.96
26,Friday 16th of April 2004,OSullivan 2-Door Barrister Bookcase in Odessa Pine,9,814.41
27,Thursday 6th of March 2003,50 Colored Long Pencils,6,60.96
28,Thursday 10th of August 2000,GBC ProClick 150 Presentation Binding System,1,94.79
28,Thursday 10th of August 2000,Logitech P710e Mobile Speakerphone,6,1235.94
28,Thursday 10th of August 2000,Insertable Tab Post Binder Dividers,5,12.05
28,Thursday 10th of August 2000,Crayola Colored Pencils,10,26.2
28,Thursday 10th of August 2000,Acco Hanging Data Binders,3,9.15
29,Sunday 9th of January 2000,Tyvek Side-Opening Peel & Seel Expanding Envelopes,3,271.44
30,Thursday 28th of December 2000,Avery Durable Plastic 1 Binders,8,36.32
31,Friday 28th of June 2002,Xerox 1916,1,39.15
31,Friday 28th of June 2002,iHome FM Clock Radio with Lightning Dock,2,111.98
31,Friday 28th of June 2002,Tennsco Stur-D-Stor Boltless Shelving  5 Shelves  24 Deep  Sand,10,1353.1
32,Wednesday 29th of December 2004,High-Back Leather Managers Chair,1,103.99
32,Wednesday 29th of December 2004,Recycled Interoffice Envelopes with String and Button Closure  10 x 13,2,38.38
32,Wednesday 29th of December 2004,Convenience Packs of Business Envelopes,5,18.1
32,Wednesday 29th of December 2004,Pizazz Global Quick File,1,14.97
33,Monday 18th of February 2002,Xerox 1883,1,26.38
33,Monday 18th of February 2002,Safco Commercial Shelving,4,148.84
33,Monday 18th of February 2002,Decoflex Hanging Personal Folder File  Blue,4,61.68
33,Monday 18th of February 2002,KeyTronic 6101 Series - Keyboard - Black,4,131.16
33,Monday 18th of February 2002,Ideal Clamps,3,6.03
34,Thursday 15th of June 2000,Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D,3,332.94
34,Thursday 15th of June 2000,Global Deluxe High-Back Managers Chair,5,1000.95
34,Thursday 15th of June 2000,Chromcraft Rectangular Conference Tables,5,947.9
34,Thursday 15th of June 2000,Space Solutions HD Industrial Steel Shelving.,5,459.9
34,Thursday 15th of June 2000,File Shuttle II and Handi-File  Black,6,162.66
35,Thursday 18th of May 2000,Home/Office Personal File Carts,7,243.32
35,Thursday 18th of May 2000,Newell 318,8,22.24
35,Thursday 18th of May 2000,Balt Solid Wood Rectangular Table,1,63.29
36,Wednesday 19th of July 2000,Cardinal Hold-It CD Pocket,4,6.4
36,Wednesday 19th of July 2000,Safco Industrial Shelving,5,369.25
37,Saturday 16th of February 2002,Newell 350,2,6.56
38,Saturday 29th of January 2000,9-3/4 Diameter Round Wall Clock,2,27.58
38,Saturday 29th of January 2000,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,2,23.92
39,Thursday 28th of October 2004,Fellowes Officeware Wire Shelving,9,808.47
39,Thursday 28th of October 2004,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,1,11.99
39,Thursday 28th of October 2004,Easy-staple paper,3,29.46
39,Thursday 28th of October 2004,Xerox 205,7,45.36
40,Thursday 26th of July 2001,Luxo Economy Swing Arm Lamp,4,79.76
40,Thursday 26th of July 2001,Xerox 205,4,25.92
40,Thursday 26th of July 2001,Avery Durable Plastic 1 Binders,1,4.54
40,Thursday 26th of July 2001,AT&T 1070 Corded Phone,8,713.52
41,Tuesday 26th of September 2000,Xerox 1930,9,46.62
41,Tuesday 26th of September 2000,Bush Somerset Collection Bookcase,4,523.92
41,Tuesday 26th of September 2000,Staple-based wall hangings,10,39
41,Tuesday 26th of September 2000,Novimex Swivel Fabric Task Chair,7,1056.86
42,Thursday 29th of July 2004,Tyvek  Top-Opening Peel & Seel Envelopes  Plain White,2,43.48
43,Thursday 25th of April 2002,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,3,9.09
43,Thursday 25th of April 2002,Post-it  Important Message  Note Pad  Neon Colors  50 Sheets/Pad,2,11.64
43,Thursday 25th of April 2002,Gould Plastics 18-Pocket Panel Bin  34w x 5-1/4d x 20-1/2h,6,551.94
44,Wednesday 6th of February 2002,Xerox 1930,7,36.26
44,Wednesday 6th of February 2002,Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  14 7/8 X 11,5,21.5
45,Tuesday 26th of March 2002,JBL Micro Wireless Portable Bluetooth Speaker,10,479.9
45,Tuesday 26th of March 2002,Epson WorkForce WF-2530 All-in-One Printer  Copier Scanner,9,629.91
45,Tuesday 26th of March 2002,Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter,2,27.52
45,Tuesday 26th of March 2002,3M Office Air Cleaner,3,77.94
45,Tuesday 26th of March 2002,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3,5987.97
46,Friday 9th of March 2001,Decoflex Hanging Personal Folder File,9,138.78
47,Monday 23rd of October 2000,GE General Purpose  Extra Long Life  Showcase & Floodlight Incandescent Bulbs,8,23.28
47,Monday 23rd of October 2000,Memorex Micro Travel Drive 8 GB,10,104
48,Tuesday 26th of September 2000,Eldon Expressions Desk Accessory  Wood Pencil Holder  Oak,8,30.88
48,Tuesday 26th of September 2000,AT&T CL83451 4-Handset Telephone,7,1441.93
48,Tuesday 26th of September 2000,Sharp AL-1530CS Digital Copier,3,1199.97
49,Thursday 21st of August 2003,Xerox 1987,1,5.78
49,Thursday 21st of August 2003,Sanford Colorific Eraseable Coloring Pencils  12 Count,2,6.56
49,Thursday 21st of August 2003,Global Ergonomic Managers Chair,7,1140.16
49,Thursday 21st of August 2003,Eldon 200 Class Desk Accessories  Burgundy,9,45.18
50,Sunday 23rd of June 2002,Self-Adhesive Address Labels for Typewriters by Universal,10,73.1
51,Sunday 28th of March 2004,Canon PC1080F Personal Copier,7,4199.93
51,Sunday 28th of March 2004,Wilson Jones International Size A4 Ring Binders,4,55.36
52,Monday 16th of February 2004,SimpliFile Personal File  Black Granite  15w x 6-15/16d x 11-1/4h,5,45.4
52,Monday 16th of February 2004,Microsoft Natural Keyboard Elite,2,95.8
52,Monday 16th of February 2004,Tuff Stuff Recycled Round Ring Binders,9,34.74
52,Monday 16th of February 2004,Xerox 1913,10,554.8
53,Monday 17th of May 2004,Hon Multipurpose Stacking Arm Chairs,1,216.6
53,Monday 17th of May 2004,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,7,26.46
53,Monday 17th of May 2004,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,2,26.8
53,Monday 17th of May 2004,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,8,382.48
54,Sunday 18th of November 2001,Advantus Push Pins  Aluminum Head,2,11.62
54,Sunday 18th of November 2001,Wirebound Message Books  Two 4 1/4 x 5 Forms per Page,6,45.66
54,Sunday 18th of November 2001,Avaya 5420 Digital phone,9,1214.91
55,Saturday 14th of October 2000,Bush Somerset Collection Bookcase,3,392.94
55,Saturday 14th of October 2000,Global Deluxe High-Back Managers Chair,8,1601.52
55,Saturday 14th of October 2000,DXL Angle-View Binders with Locking Rings by Samsill,4,24.68
56,Monday 11th of December 2000,Acco Six-Outlet Power Strip  4 Cord Length,7,60.34
57,Monday 24th of February 2003,Microsoft Arc Touch Mouse,3,143.88
57,Monday 24th of February 2003,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,2,31.94
57,Monday 24th of February 2003,Premier Automatic Letter Opener,7,1346.1
58,Thursday 29th of July 2004,Logitech Wireless Gaming Headset G930,1,127.99
59,Monday 27th of September 2004,Fellowes Officeware Wire Shelving,7,628.81
59,Monday 27th of September 2004,Jabra BIZ 2300 Duo QD Duo Corded Headset,9,914.31
60,Saturday 1st of February 2003,Companion Letter/Legal File  Black,5,188.8
61,Monday 28th of October 2002,Ibico Laser Imprintable Binding System Covers,8,125.76
61,Monday 28th of October 2002,Avery Personal Creations Heavyweight Cards,10,92.3
62,Saturday 8th of May 2004,Xerox 1911,10,479
62,Saturday 8th of May 2004,Design Ebony Sketching Pencil,1,1.11
62,Saturday 8th of May 2004,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,10,478.1
63,Sunday 4th of June 2000,Microsoft Arc Touch Mouse,4,191.84
63,Sunday 4th of June 2000,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,3,242.94
63,Sunday 4th of June 2000,Howard Miller 13 Diameter Goldtone Round Wall Clock,2,75.1
63,Sunday 4th of June 2000,Acme Rosewood Handle Letter Opener,5,15.9
63,Sunday 4th of June 2000,KI Conference Tables,6,212.7
64,Monday 17th of June 2002,Global Deluxe Office Fabric Chairs,2,153.56
64,Monday 17th of June 2002,Advantus Push Pins,1,2.18
64,Monday 17th of June 2002,Hon Practical Foundations 30 x 60 Training Table  Light Gray/Charcoal,9,1126.35
65,Tuesday 28th of November 2000,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),5,29.9
65,Tuesday 28th of November 2000,Wilson Jones Century Plastic Molded Ring Binders,8,33.2
65,Tuesday 28th of November 2000,Fellowes Strictly Business Drawer File  Letter/Legal Size,7,985.95
66,Sunday 2nd of June 2002,BOSTON Model 1800 Electric Pencil Sharpeners  Putty/Woodgrain,10,143.8
66,Sunday 2nd of June 2002,Avery Binding System Hidden Tab Executive Style Index Sets,10,46.2
66,Sunday 2nd of June 2002,Belkin 19 Vented Equipment Shelf  Black,4,164.72
66,Sunday 2nd of June 2002,Prang Colored Pencils,3,8.82
66,Sunday 2nd of June 2002,Deluxe Rollaway Locking File with Drawer,3,998.1
67,Saturday 23rd of February 2002,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,6,119.94
68,Tuesday 24th of June 2003,GBC Prestige Therm-A-Bind Covers,5,171.55
68,Tuesday 24th of June 2003,Global Deluxe Office Fabric Chairs,3,230.34
68,Tuesday 24th of June 2003,Xerox 1958,8,51.84
69,Friday 1st of September 2000,#10 Gummed Flap White Envelopes  100/Box,1,4.13
69,Friday 1st of September 2000,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),2,10.56
69,Friday 1st of September 2000,Avery Durable Plastic 1 Binders,4,18.16
69,Friday 1st of September 2000,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,2,145.56
69,Friday 1st of September 2000,Clear Mylar Reinforcing Strips,4,59.8
70,Tuesday 17th of April 2001,Plantronics Cordless Phone Headset with In-line Volume - M214C,1,34.95
70,Tuesday 17th of April 2001,Wirebound Message Books  5-1/2 x 4 Forms  2 or 4 Forms per Page,8,42.8
70,Tuesday 17th of April 2001,Newell 345,3,59.52
70,Tuesday 17th of April 2001,Xerox 1999,9,58.32
71,Friday 30th of April 2004,Global Deluxe Office Fabric Chairs,4,307.12
71,Friday 30th of April 2004,Holmes Odor Grabber,1,2.88
71,Friday 30th of April 2004,Lenovo 17-Key USB Numeric Keypad,8,217.52
71,Friday 30th of April 2004,Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black,6,317.94
71,Friday 30th of April 2004,Safco Commercial Shelving,5,186.05
72,Sunday 10th of February 2002,Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors,1,177.47
72,Sunday 10th of February 2002,Newell 333,9,25.02
72,Sunday 10th of February 2002,Belkin F5C206VTEL 6 Outlet Surge,1,22.98
72,Sunday 10th of February 2002,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,9,372.6
73,Wednesday 7th of July 2004,Premier Electric Letter Opener,9,834.21
73,Wednesday 7th of July 2004,Global Value Mid-Back Managers Chair  Gray,3,127.86
74,Monday 5th of May 2003,Wirebound Service Call Books  5 1/2 x 4,8,77.44
74,Monday 5th of May 2003,Ibico Standard Transparent Covers,6,98.88
74,Monday 5th of May 2003,Bush Westfield Collection Bookcases  Medium Cherry Finish,3,86.97
74,Monday 5th of May 2003,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,7,556.64
74,Monday 5th of May 2003,Cisco SPA 501G IP Phone,1,71.16
75,Saturday 11th of December 2004,GBC Twin Loop Wire Binding Elements  9/16 Spine  Black,1,3.04
75,Saturday 11th of December 2004,Bulldog Vacuum Base Pencil Sharpener,9,107.91
75,Saturday 11th of December 2004,While You Were Out Pads  50 per Pad  4 x 5 1/4  Green Cycle,6,22.68
75,Saturday 11th of December 2004,Xerox 1913,1,55.48
76,Saturday 28th of August 2004,Logitech P710e Mobile Speakerphone,6,1235.94
76,Saturday 28th of August 2004,Xerox 191,10,199.8
76,Saturday 28th of August 2004,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,6,281.94
77,Wednesday 20th of October 2004,Eldon 200 Class Desk Accessories  Burgundy,10,50.2
77,Wednesday 20th of October 2004,Bevis Round Conference Table Top  X-Base,8,1147.44
77,Wednesday 20th of October 2004,Avery Personal Creations Heavyweight Cards,1,9.23
77,Wednesday 20th of October 2004,Eaton Premium Continuous-Feed Paper  25% Cotton  Letter Size  White  1000 Shts/Box,7,388.36
78,Thursday 8th of August 2002,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,7,1633.66
78,Thursday 8th of August 2002,Westinghouse Mesh Shade Clip-On Gooseneck Lamp  Black,7,98.98
78,Thursday 8th of August 2002,Safco Industrial Wire Shelving,1,76.79
79,Monday 26th of March 2001,Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D,3,332.94
79,Monday 26th of March 2001,Recycled Interoffice Envelopes with String and Button Closure  10 x 13,1,19.19
79,Monday 26th of March 2001,Xerox 1920,10,59.8
79,Monday 26th of March 2001,Xerox 1958,10,64.8
80,Tuesday 4th of December 2001,DXL Angle-View Binders with Locking Rings by Samsill,6,37.02
80,Tuesday 4th of December 2001,Lexmark MX611dhe Monochrome Laser Printer,4,4079.96
81,Saturday 17th of April 2004,Bevis Steel Folding Chairs,2,153.52
81,Saturday 17th of April 2004,Wirebound Message Books  Two 4 1/4 x 5 Forms per Page,1,7.61
81,Saturday 17th of April 2004,JBL Micro Wireless Portable Bluetooth Speaker,2,95.98
82,Sunday 3rd of June 2001,KeyTronic 6101 Series - Keyboard - Black,1,32.79
82,Sunday 3rd of June 2001,Fellowes Personal Hanging Folder Files  Navy,7,94.01
82,Sunday 3rd of June 2001,Tyvek  Top-Opening Peel & Seel Envelopes  Plain White,10,217.4
82,Sunday 3rd of June 2001,Clear Mylar Reinforcing Strips,1,14.95
82,Sunday 3rd of June 2001,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,10,199.9
83,Saturday 21st of June 2003,Wilson Jones International Size A4 Ring Binders,5,69.2
83,Saturday 21st of June 2003,Tenex Traditional Chairmats for Medium Pile Carpet  Standard Lip  36 x 48,6,291.12
83,Saturday 21st of June 2003,Presstex Flexible Ring Binders,6,21.84
84,Thursday 22nd of August 2002,Avery Recycled Flexi-View Covers for Binding Systems,3,14.43
84,Thursday 22nd of August 2002,Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet  Computer  39 x 49,3,258.06
84,Thursday 22nd of August 2002,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,6,289.2
84,Thursday 22nd of August 2002,Round Ring Binders,9,3.78
85,Saturday 3rd of March 2001,Samsung Galaxy Note 3,9,1583.91
86,Friday 2nd of May 2003,Bush Advantage Collection Round Conference Table,4,467.72
86,Friday 2nd of May 2003,Xerox 195,10,66.8
86,Friday 2nd of May 2003,Deflect-o DuraMat Lighweight  Studded  Beveled Mat for Low Pile Carpeting,7,238.84
86,Friday 2nd of May 2003,Sabrent 4-Port USB 2.0 Hub,4,27.16
87,Sunday 31st of August 2003,Advantus Push Pins,4,8.72
88,Sunday 19th of August 2001,Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  14 7/8 X 11,1,4.3
89,Saturday 23rd of November 2002,Bush Advantage Collection Racetrack Conference Table,7,1484.77
89,Saturday 23rd of November 2002,Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters  4/Pack,7,45.57
89,Saturday 23rd of November 2002,Apple iPhone 5S,1,455.99
90,Wednesday 18th of July 2001,Bose SoundLink Bluetooth Speaker,10,1592
91,Monday 2nd of June 2003,Swingline SM12-08 MicroCut Jam Free Shredder,3,360
91,Monday 2nd of June 2003,Sauder Mission Library with Doors  Fruitwood Finish,9,1001.97
91,Monday 2nd of June 2003,Poly Designer Cover & Back,6,34.2
92,Friday 28th of May 2004,Wilson Jones Custom Binder Spines & Labels,3,4.89
92,Friday 28th of May 2004,GBC Prestige Therm-A-Bind Covers,9,308.79
92,Friday 28th of May 2004,GBC VeloBinder Electric Binding Machine,10,362.9
92,Friday 28th of May 2004,GE 30524EE4,1,156.79
92,Friday 28th of May 2004,KI Conference Tables,7,248.15
93,Tuesday 28th of March 2000,Vinyl Coated Wire Paper Clips in Organizer Box  800/Box,4,36.72
93,Tuesday 28th of March 2000,Fellowes PB200 Plastic Comb Binding Machine,2,271.98
94,Sunday 6th of June 2004,Safco Industrial Wire Shelving System,7,509.46
94,Sunday 6th of June 2004,Global Value Steno Chair  Gray,5,242.95
94,Sunday 6th of June 2004,Samsung Galaxy Note 3,3,527.97
